127.0.0.1 - - [20/Dec/2019:11:24:37 +0530] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Dec/2019:11:24:53 +0530] "GET /trendprediction/admin/addDataset.jsp HTTP/1.1" 200 19996
0:0:0:0:0:0:0:1 - - [20/Dec/2019:11:24:53 +0530] "GET /trendprediction/admin/adminResource/css/style.min.css HTTP/1.1" 200 81623
0:0:0:0:0:0:0:1 - - [20/Dec/2019:11:24:53 +0530] "GET /trendprediction/admin/adminResource/css/themify-icons.css HTTP/1.1" 200 13847
0:0:0:0:0:0:0:1 - - [20/Dec/2019:11:24:53 +0530] "GET /trendprediction/admin/adminResource/css/custom.css HTTP/1.1" 200 3125
0:0:0:0:0:0:0:1 - - [20/Dec/2019:11:24:53 +0530] "GET /trendprediction/admin/adminResource/css/sweetalert.css HTTP/1.1" 200 16853
0:0:0:0:0:0:0:1 - - [20/Dec/2019:11:24:53 +0530] "GET /trendprediction/admin/adminResource/css/jquery.mCustomScrollbar.min.css HTTP/1.1" 200 42677
0:0:0:0:0:0:0:1 - - [20/Dec/2019:11:24:53 +0530] "GET /trendprediction/admin/adminResource/css/waves.min.css HTTP/1.1" 200 3872
0:0:0:0:0:0:0:1 - - [20/Dec/2019:11:24:54 +0530] "GET /trendprediction/admin/adminResource/js/jquery.min.js HTTP/1.1" 200 86341
0:0:0:0:0:0:0:1 - - [20/Dec/2019:11:24:54 +0530] "GET /trendprediction/admin/adminResource/js/modernizr.min.js HTTP/1.1" 200 8552
0:0:0:0:0:0:0:1 - - [20/Dec/2019:11:24:54 +0530] "GET /trendprediction/admin/adminResource/js/jquery.mCustomScrollbar.concat.min.js HTTP/1.1" 200 45479
0:0:0:0:0:0:0:1 - - [20/Dec/2019:11:24:54 +0530] "GET /trendprediction/admin/adminResource/js/bootstrap.min.js HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [20/Dec/2019:11:24:54 +0530] "GET /trendprediction/admin/adminResource/js/nprogress.js HTTP/1.1" 200 6486
0:0:0:0:0:0:0:1 - - [20/Dec/2019:11:24:54 +0530] "GET /trendprediction/admin/adminResource/js/sweetalert.min.js HTTP/1.1" 200 16977
0:0:0:0:0:0:0:1 - - [20/Dec/2019:11:24:54 +0530] "GET /trendprediction/admin/adminResource/css/bootstrap.min.css HTTP/1.1" 200 144772
0:0:0:0:0:0:0:1 - - [20/Dec/2019:11:24:54 +0530] "GET /trendprediction/admin/adminResource/css/fontawesome-all.min.css HTTP/1.1" 200 35381
0:0:0:0:0:0:0:1 - - [20/Dec/2019:11:24:54 +0530] "GET /trendprediction/admin/adminResource/css/nprogress.css HTTP/1.1" 200 1170
0:0:0:0:0:0:0:1 - - [20/Dec/2019:11:24:54 +0530] "GET /trendprediction/admin/adminResource/js/waves.min.js HTTP/1.1" 200 6234
0:0:0:0:0:0:0:1 - - [20/Dec/2019:11:24:54 +0530] "GET /trendprediction/admin/adminResource/js/jquery.sparkline.min.js HTTP/1.1" 200 43247
0:0:0:0:0:0:0:1 - - [20/Dec/2019:11:24:54 +0530] "GET /trendprediction/admin/adminResource/js/chart.sparkline.init.min.js HTTP/1.1" 200 1410
0:0:0:0:0:0:0:1 - - [20/Dec/2019:11:24:54 +0530] "GET /trendprediction/admin/adminResource/js/mycommon.js HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [20/Dec/2019:11:24:54 +0530] "GET /trendprediction/admin/adminResource/js/main.min.js HTTP/1.1" 200 11775
0:0:0:0:0:0:0:1 - - [20/Dec/2019:11:24:54 +0530] "GET /trendprediction/admin/adminResource/js/validator.min.js HTTP/1.1" 200 7492
0:0:0:0:0:0:0:1 - - [20/Dec/2019:11:24:54 +0530] "GET /trendprediction/admin/adminResource/image/avatar-sm-4.jpg HTTP/1.1" 200 14736
0:0:0:0:0:0:0:1 - - [20/Dec/2019:11:24:54 +0530] "GET /trendprediction/admin/adminResource/image/avatar-1.jpg HTTP/1.1" 200 15636
0:0:0:0:0:0:0:1 - - [20/Dec/2019:11:24:54 +0530] "GET /trendprediction/admin/adminResource/image/avatar-sm-2.jpg HTTP/1.1" 200 6926
0:0:0:0:0:0:0:1 - - [20/Dec/2019:11:24:54 +0530] "GET /trendprediction/admin/adminResource/image/avatar-sm-1.jpg HTTP/1.1" 200 6528
0:0:0:0:0:0:0:1 - - [20/Dec/2019:11:24:55 +0530] "GET /trendprediction/admin/adminResource/image/avatar-2.jpg HTTP/1.1" 200 16376
